TID: [-1234] [] [2017-04-14 09:49:57,970]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 09:49:57,971]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 09:49:57,973]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 09:49:57,974]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 09:49:58,421]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 09:49:58,422]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 09:49:58,424]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 09:49:58,425]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 09:49:58,871]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 09:49:58,872]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 09:49:58,874]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 09:49:58,875]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 09:49:59,154]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 09:49:59,155]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 09:49:59,159]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 09:49:59,159]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 09:49:59,428]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 09:49:59,429]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 09:49:59,431]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 09:49:59,431]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 09:49:59,745]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 09:49:59,746]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 09:49:59,748]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 09:49:59,749]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1] [] [2017-04-14 10:02:16,979]  INFO {org.wso2.andes.kernel.AndesRecoveryTask} -  Running DB sync task. 
TID: [-1] [] [2017-04-14 10:17:16,979]  INFO {org.wso2.andes.kernel.AndesRecoveryTask} -  Running DB sync task. 
TID: [-1] [] [2017-04-14 10:32:16,979]  INFO {org.wso2.andes.kernel.AndesRecoveryTask} -  Running DB sync task. 
TID: [-1234] [] [2017-04-14 10:36:07,197]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:36:07,198]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:36:07,201]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
